VIN,VB1,C0,R0,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
486.0,885.0,2.0,3.0,496.0,73.0,798.0,66.0,588.0,66.0,395.0,47.0,925.0,38.0,3.327288e-05,64.05701,10785.12,16295760.0,50.1739,11.8526
753.0,694.0,4.0,1.0,245.0,27.0,860.0,63.0,915.0,32.0,551.0,50.0,829.0,44.0,0.0002985111,62.53094,26117.46,39459980.0,103.315,22.1297
390.0,912.0,1.0,3.0,599.0,15.0,112.0,33.0,449.0,21.0,530.0,66.0,208.0,65.0,6.946641e-05,59.46043,40642.28,30874990.0,84.2675,29.2806
675.0,816.0,1.0,3.0,993.0,12.0,201.0,67.0,177.0,74.0,646.0,32.0,796.0,1.0,7.688441e-05,4.787491,3383769.0,6729644.0,-59.0875,-8.50379
237.0,391.0,4.0,1.0,812.0,14.0,729.0,97.0,969.0,41.0,851.0,7.0,347.0,2.0,0.0007726514,31.2027,898000.8,25358040.0,53.3917,8.262
718.0,674.0,2.0,1.0,791.0,94.0,865.0,23.0,163.0,43.0,103.0,32.0,904.0,30.0,0.0001476677,33.75953,898000.8,30874990.0,94.9141,37.7506
466.0,885.0,1.0,2.0,952.0,35.0,570.0,43.0,492.0,57.0,387.0,85.0,997.0,85.0,4.173267e-05,59.05743,26117.46,19841090.0,60.9813,20.6418
443.0,476.0,1.0,3.0,806.0,8.0,783.0,67.0,645.0,40.0,529.0,12.0,352.0,1.0,0.0002632044,54.39178,153147.4,48044980.0,67.6941,29.3341
639.0,808.0,1.0,3.0,996.0,63.0,881.0,15.0,602.0,34.0,385.0,92.0,194.0,7.0,4.691593e-05,61.74597,26117.46,19841090.0,72.702,39.8864
725.0,610.0,4.0,1.0,181.0,10.0,646.0,1.0,144.0,2.0,386.0,82.0,682.0,26.0,0.0001616769,36.22089,40642.28,2779135.0,92.7498,38.3785
800.0,510.0,3.0,4.0,586.0,17.0,625.0,85.0,557.0,80.0,521.0,92.0,376.0,51.0,0.0001093596,14.177,577079.0,2174501.0,115.838,7.85101
374.0,838.0,1.0,1.0,372.0,17.0,994.0,23.0,879.0,76.0,149.0,91.0,623.0,22.0,3.747331e-05,57.86859,26117.46,16295760.0,55.7872,17.1465
621.0,799.0,2.0,2.0,882.0,76.0,751.0,28.0,712.0,18.0,526.0,83.0,676.0,82.0,0.0001659009,63.43745,16783.42,30874990.0,103.919,30.1906
493.0,800.0,1.0,3.0,570.0,11.0,147.0,22.0,587.0,21.0,503.0,64.0,374.0,65.0,0.0002780174,59.13526,98416.24,181038800.0,85.5258,18.0472
257.0,798.0,2.0,1.0,391.0,13.0,996.0,18.0,882.0,82.0,108.0,91.0,637.0,31.0,7.398196e-05,56.89219,26117.46,12750420.0,78.6643,52.7043
696.0,683.0,2.0,1.0,957.0,92.0,855.0,26.0,719.0,42.0,108.0,36.0,898.0,52.0,0.0002668414,48.99904,153147.4,48044980.0,97.5882,53.3682
479.0,863.0,1.0,2.0,997.0,28.0,523.0,45.0,524.0,59.0,555.0,77.0,954.0,85.0,6.229389e-05,45.31503,153147.4,25358040.0,63.9656,28.5294
538.0,853.0,1.0,2.0,484.0,41.0,496.0,44.0,606.0,59.0,400.0,82.0,993.0,84.0,8.018747e-05,63.41128,40642.28,48044980.0,63.9983,33.2174
439.0,884.0,1.0,3.0,507.0,82.0,781.0,59.0,569.0,39.0,373.0,49.0,936.0,38.0,3.27667e-05,38.92907,238315.2,19841090.0,36.7326,9.82872
731.0,899.0,1.0,1.0,904.0,91.0,821.0,25.0,737.0,18.0,570.0,78.0,971.0,75.0,2.234126e-05,62.0247,10785.12,10472090.0,60.4825,14.8112
668.0,740.0,1.0,3.0,900.0,66.0,766.0,10.0,612.0,38.0,386.0,96.0,235.0,4.0,6.557281e-05,53.17806,98416.24,30874990.0,71.1383,33.1525
714.0,626.0,6.0,1.0,214.0,18.0,637.0,12.0,221.0,41.0,295.0,74.0,921.0,22.0,0.0001430497,35.51352,238315.2,10472090.0,103.463,29.0469
573.0,866.0,1.0,1.0,484.0,31.0,504.0,50.0,576.0,59.0,395.0,84.0,998.0,87.0,6.865152e-05,63.41632,40642.28,39459980.0,50.028,13.5326
332.0,809.0,2.0,1.0,372.0,15.0,947.0,17.0,863.0,76.0,148.0,92.0,587.0,33.0,6.716874e-05,55.30016,26117.46,10472090.0,79.2799,53.7634
436.0,714.0,2.0,1.0,850.0,61.0,299.0,58.0,385.0,84.0,929.0,20.0,361.0,88.0,0.00049234,5.183369,5265528.0,8193759.0,94.6576,24.2402
729.0,812.0,1.0,5.0,540.0,13.0,988.0,64.0,152.0,74.0,130.0,38.0,798.0,14.0,6.039134e-05,55.19535,98416.24,39459980.0,73.0647,28.5266
775.0,913.0,1.0,2.0,356.0,63.0,447.0,71.0,919.0,14.0,536.0,47.0,127.0,50.0,6.883843e-05,59.92987,40642.28,30874990.0,68.9587,31.3414
322.0,855.0,1.0,1.0,376.0,15.0,909.0,15.0,884.0,66.0,170.0,90.0,687.0,23.0,2.403714e-05,59.33547,16783.42,10472090.0,60.2809,18.0766
484.0,907.0,1.0,2.0,966.0,22.0,584.0,33.0,478.0,57.0,338.0,81.0,989.0,84.0,2.342786e-05,54.27947,26117.46,10472090.0,64.4846,18.2558
790.0,539.0,4.0,1.0,236.0,14.0,662.0,12.0,199.0,1.0,764.0,82.0,690.0,47.0,0.0006423075,55.42093,26117.46,12750420.0,102.789,28.7775
646.0,830.0,2.0,2.0,900.0,84.0,823.0,28.0,698.0,18.0,525.0,81.0,971.0,82.0,8.466692e-05,66.75988,10785.12,16295760.0,89.281,39.6435
805.0,961.0,1.0,1.0,381.0,9.0,515.0,68.0,876.0,11.0,560.0,48.0,178.0,39.0,1.625245e-05,40.08815,63244.55,5265529.0,57.78,11.8629
200.0,876.0,1.0,1.0,946.0,61.0,654.0,15.0,598.0,35.0,306.0,88.0,206.0,15.0,2.612992e-05,56.35752,26117.46,10472090.0,66.7488,17.5751
805.0,735.0,1.0,1.0,778.0,89.0,814.0,21.0,181.0,41.0,104.0,25.0,544.0,27.0,7.190228e-05,25.96313,1397391.0,25358040.0,79.4021,51.293
479.0,863.0,1.0,2.0,816.0,28.0,522.0,45.0,524.0,59.0,553.0,80.0,993.0,85.0,6.318658e-05,51.58044,98416.24,30874990.0,62.1998,26.593
569.0,839.0,1.0,2.0,493.0,41.0,510.0,45.0,628.0,59.0,366.0,81.0,960.0,84.0,0.0001026931,63.82645,40642.28,61404200.0,70.4942,34.5166
522.0,918.0,1.0,3.0,951.0,31.0,564.0,37.0,526.0,56.0,271.0,80.0,997.0,83.0,2.004483e-05,58.70358,16783.42,10472090.0,62.1385,19.0594
443.0,460.0,1.0,3.0,740.0,8.0,783.0,67.0,636.0,40.0,529.0,12.0,352.0,1.0,0.0002835125,54.26781,153147.4,61404200.0,69.3138,27.8244
775.0,855.0,1.0,5.0,959.0,85.0,998.0,50.0,313.0,57.0,208.0,34.0,692.0,17.0,3.279553e-05,60.6655,40642.28,25358040.0,50.3896,28.4321
658.0,685.0,1.0,3.0,989.0,67.0,898.0,9.0,540.0,35.0,368.0,86.0,191.0,4.0,9.904867e-05,59.78284,63244.55,48044980.0,90.2417,29.4539
522.0,841.0,1.0,2.0,484.0,31.0,494.0,45.0,625.0,59.0,368.0,83.0,984.0,80.0,9.881006e-05,63.64133,40642.28,48044980.0,69.092,33.7563
725.0,743.0,1.0,1.0,193.0,16.0,563.0,16.0,152.0,46.0,676.0,73.0,856.0,23.0,7.173127e-05,27.2149,1397391.0,25358040.0,57.7259,18.9105
454.0,900.0,1.0,1.0,748.0,6.0,829.0,63.0,446.0,68.0,255.0,50.0,301.0,36.0,3.004881e-05,44.69642,98416.24,12750420.0,68.6744,17.6592
832.0,844.0,1.0,3.0,365.0,72.0,456.0,66.0,872.0,14.0,535.0,50.0,159.0,39.0,0.0001857812,51.25535,238315.2,116340400.0,77.2455,17.4204
552.0,924.0,1.0,3.0,603.0,11.0,140.0,20.0,156.0,19.0,543.0,64.0,321.0,24.0,1.86472e-05,58.88257,16783.42,10472090.0,53.7199,13.3582
790.0,296.0,4.0,1.0,236.0,4.0,223.0,12.0,743.0,1.0,776.0,82.0,688.0,47.0,0.00107848,37.06315,98416.24,5265529.0,97.3726,26.4719
379.0,439.0,4.0,3.0,813.0,8.0,783.0,63.0,606.0,40.0,277.0,12.0,914.0,1.0,0.0002922986,7.322293,1397391.0,2174501.0,74.2967,35.6104
786.0,798.0,2.0,1.0,583.0,84.0,973.0,18.0,882.0,82.0,131.0,93.0,557.0,32.0,7.776493e-05,57.4911,26117.46,12750420.0,75.832,56.7413
543.0,874.0,3.0,2.0,498.0,1.0,831.0,61.0,716.0,73.0,375.0,48.0,966.0,28.0,3.159538e-05,55.78331,6930.448,3383770.0,74.7569,16.0444
478.0,892.0,1.0,3.0,594.0,16.0,150.0,32.0,379.0,19.0,527.0,64.0,247.0,61.0,7.838699e-05,58.58978,40642.28,30874990.0,88.9986,27.9852
544.0,886.0,4.0,3.0,599.0,13.0,113.0,29.0,149.0,14.0,521.0,64.0,191.0,25.0,6.733677e-05,38.79244,98416.24,6729644.0,98.397,35.9672
673.0,841.0,2.0,4.0,927.0,21.0,870.0,33.0,640.0,16.0,974.0,63.0,659.0,85.0,6.251452e-05,32.90709,153147.4,6729644.0,105.67,24.7706
624.0,784.0,1.0,3.0,994.0,66.0,879.0,9.0,602.0,43.0,361.0,97.0,180.0,4.0,3.868385e-05,59.1746,26117.46,19841090.0,70.1401,42.5648
756.0,945.0,1.0,3.0,365.0,7.0,506.0,64.0,570.0,13.0,522.0,62.0,132.0,43.0,2.756941e-05,57.21861,16783.42,10472090.0,75.9006,27.1263
668.0,770.0,1.0,6.0,533.0,12.0,189.0,67.0,214.0,74.0,647.0,24.0,745.0,23.0,0.0001578005,19.30132,3383769.0,30874990.0,54.2676,16.6415
627.0,916.0,1.0,3.0,994.0,66.0,879.0,9.0,545.0,33.0,362.0,97.0,180.0,2.0,3.102411e-06,32.84646,40642.28,1397392.0,34.3166,6.37687
888.0,771.0,1.0,1.0,794.0,88.0,872.0,14.0,630.0,43.0,140.0,36.0,960.0,20.0,3.99439e-05,45.49507,98416.24,16295760.0,58.898,17.0956
415.0,885.0,3.0,3.0,515.0,84.0,925.0,64.0,589.0,66.0,365.0,48.0,944.0,38.0,2.987173e-05,63.1914,6930.448,10472090.0,61.4705,13.7259
494.0,701.0,5.0,4.0,142.0,15.0,870.0,22.0,145.0,15.0,429.0,27.0,958.0,30.0,0.0001252617,27.39652,577079.0,19841090.0,73.7585,22.4725
520.0,806.0,7.0,1.0,646.0,68.0,833.0,23.0,282.0,91.0,318.0,74.0,354.0,16.0,4.474261e-05,30.41177,98416.24,3383770.0,84.8649,28.7031
751.0,840.0,1.0,6.0,931.0,13.0,982.0,54.0,391.0,53.0,199.0,31.0,795.0,16.0,3.605714e-05,59.56442,26117.46,19841090.0,70.9532,32.9822
528.0,851.0,4.0,5.0,588.0,83.0,302.0,25.0,396.0,90.0,831.0,83.0,785.0,15.0,4.40979e-05,65.41982,6930.448,10472090.0,66.6624,24.897
642.0,679.0,8.0,2.0,926.0,73.0,986.0,51.0,795.0,54.0,998.0,35.0,966.0,37.0,0.0002075731,30.80924,238315.2,8193759.0,103.151,25.8473
204.0,346.0,4.0,2.0,613.0,12.0,666.0,35.0,720.0,94.0,602.0,59.0,316.0,40.0,0.000844823,13.0411,2174500.0,10472090.0,136.36,22.5967
752.0,912.0,4.0,1.0,371.0,31.0,862.0,61.0,916.0,33.0,536.0,50.0,829.0,48.0,2.007969e-05,56.63798,6930.448,4324649.0,57.2825,8.12906
715.0,389.0,1.0,5.0,634.0,14.0,202.0,39.0,855.0,64.0,652.0,37.0,817.0,17.0,0.0001655533,26.20362,1397391.0,30874990.0,9.27566,9.74597
756.0,807.0,1.0,1.0,504.0,82.0,992.0,57.0,184.0,56.0,580.0,33.0,798.0,1.0,5.300303e-05,12.68243,3383769.0,39459980.0,-76.1494,-14.5341
741.0,685.0,4.0,1.0,245.0,61.0,373.0,65.0,602.0,38.0,518.0,50.0,829.0,44.0,0.0005158249,42.54793,577079.0,116340400.0,95.4783,18.3701
274.0,844.0,6.0,1.0,632.0,75.0,833.0,72.0,353.0,92.0,318.0,75.0,336.0,16.0,7.368137e-05,60.16561,10785.12,10472090.0,63.8416,10.6679
847.0,777.0,1.0,1.0,918.0,98.0,986.0,37.0,749.0,59.0,490.0,82.0,559.0,83.0,8.153696e-05,27.38383,577079.0,12750420.0,69.3358,55.9236
379.0,784.0,1.0,1.0,435.0,30.0,978.0,15.0,872.0,78.0,210.0,90.0,638.0,25.0,6.886425e-05,56.48033,40642.28,25358040.0,65.8342,41.029
776.0,856.0,1.0,6.0,994.0,11.0,982.0,56.0,309.0,58.0,225.0,33.0,748.0,17.0,2.635949e-05,54.78149,40642.28,16295760.0,69.0144,31.4659
250.0,797.0,2.0,2.0,914.0,68.0,833.0,18.0,602.0,92.0,179.0,89.0,113.0,10.0,7.048327e-05,46.82129,98416.24,16295760.0,94.1429,47.604
306.0,678.0,8.0,2.0,746.0,79.0,702.0,69.0,188.0,58.0,636.0,25.0,963.0,27.0,0.0004058892,25.97396,898000.8,16295760.0,82.502,23.2813
555.0,898.0,4.0,4.0,273.0,78.0,880.0,73.0,287.0,87.0,323.0,83.0,370.0,14.0,2.47193e-05,59.55358,6930.448,6729644.0,57.3918,10.4756
663.0,889.0,1.0,1.0,946.0,64.0,654.0,17.0,609.0,28.0,306.0,76.0,205.0,4.0,1.084465e-05,26.88368,153147.4,3383770.0,24.3422,6.51744
753.0,699.0,4.0,1.0,277.0,65.0,825.0,63.0,887.0,13.0,534.0,38.0,817.0,40.0,0.0003259365,24.37234,898000.8,12750420.0,105.605,24.9545
756.0,692.0,1.0,1.0,365.0,68.0,449.0,69.0,609.0,13.0,535.0,50.0,848.0,41.0,0.0004142257,20.11665,5265528.0,39459980.0,58.6188,20.8703
237.0,892.0,3.0,5.0,588.0,82.0,876.0,72.0,394.0,87.0,818.0,89.0,778.0,21.0,2.654615e-05,64.0019,6930.448,8193759.0,44.5656,8.7175
493.0,887.0,4.0,3.0,497.0,14.0,101.0,32.0,459.0,21.0,541.0,66.0,267.0,68.0,0.0001028718,60.48396,10785.12,12750420.0,115.13,26.4702
727.0,625.0,2.0,1.0,206.0,16.0,646.0,18.0,221.0,43.0,323.0,85.0,999.0,13.0,0.000158409,59.27145,63244.55,48044980.0,83.6715,31.3274
493.0,889.0,1.0,3.0,622.0,1.0,101.0,32.0,460.0,23.0,519.0,64.0,317.0,68.0,7.001013e-05,48.91333,40642.28,10472090.0,89.5139,35.0792
701.0,678.0,2.0,1.0,794.0,94.0,815.0,22.0,749.0,41.0,102.0,34.0,881.0,26.0,0.000198476,60.65624,63244.55,48044980.0,85.6344,54.4612
490.0,830.0,1.0,1.0,874.0,30.0,490.0,43.0,559.0,63.0,366.0,83.0,990.0,81.0,0.0001133376,62.15823,40642.28,48044980.0,61.472,24.0815
853.0,801.0,2.0,1.0,919.0,99.0,821.0,50.0,761.0,14.0,996.0,69.0,992.0,78.0,0.0001165252,62.74012,26117.46,25358040.0,70.023,24.4758
466.0,887.0,2.0,1.0,590.0,15.0,124.0,30.0,474.0,12.0,528.0,30.0,172.0,29.0,7.586301e-05,58.39924,26117.46,16295760.0,70.5877,16.569
737.0,381.0,5.0,1.0,543.0,82.0,247.0,66.0,155.0,71.0,611.0,40.0,802.0,3.0,0.0005530338,56.77613,98416.24,61404200.0,64.0283,27.5337
656.0,785.0,1.0,1.0,937.0,66.0,834.0,14.0,609.0,37.0,337.0,96.0,180.0,5.0,5.693612e-05,59.95369,40642.28,25358040.0,55.8166,15.0979
331.0,375.0,8.0,1.0,978.0,9.0,776.0,97.0,652.0,42.0,357.0,15.0,399.0,1.0,0.0003824973,17.73749,577079.0,3383770.0,78.9123,18.3278
478.0,865.0,1.0,2.0,811.0,28.0,522.0,45.0,524.0,60.0,300.0,17.0,993.0,85.0,4.035542e-05,23.38779,898000.8,10472090.0,64.5406,54.4603
502.0,842.0,1.0,2.0,863.0,40.0,544.0,48.0,540.0,57.0,350.0,91.0,993.0,89.0,0.0001010062,63.20144,40642.28,48044980.0,72.687,35.3495
696.0,792.0,2.0,1.0,192.0,13.0,578.0,12.0,220.0,40.0,398.0,87.0,960.0,25.0,4.905153e-05,42.70132,98416.24,12750420.0,74.1708,19.0331
493.0,906.0,1.0,3.0,586.0,13.0,139.0,27.0,569.0,23.0,560.0,66.0,318.0,64.0,5.269503e-05,61.35666,26117.46,19841090.0,78.1324,33.3549
705.0,632.0,2.0,1.0,800.0,88.0,742.0,17.0,762.0,33.0,139.0,34.0,855.0,24.0,0.0002378874,64.14196,40642.28,48044980.0,92.2172,53.8489
519.0,739.0,3.0,1.0,613.0,75.0,317.0,75.0,412.0,67.0,820.0,83.0,835.0,23.0,0.0005004439,19.38761,3383769.0,25358040.0,47.7327,17.1585
731.0,890.0,1.0,1.0,903.0,91.0,821.0,26.0,708.0,18.0,519.0,83.0,989.0,78.0,2.783222e-05,64.90216,6930.448,10472090.0,61.1485,15.441
721.0,745.0,2.0,1.0,433.0,72.0,748.0,8.0,155.0,1.0,700.0,28.0,964.0,24.0,7.521833e-05,26.95183,370846.0,6729644.0,75.7297,21.1864
888.0,767.0,1.0,1.0,799.0,91.0,895.0,11.0,579.0,43.0,140.0,36.0,954.0,17.0,3.419339e-05,43.67092,153147.4,16295760.0,59.8381,16.6018
