VIN,VB1,C0_value,R0_value,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
801,610,1,1,546,23,652,93,688,65,195,37,794,41,1.46E-04,2.94E+01,1.40E+06,3.09E+07,7.86E+01,3.41E+01
631,752,2,3,597,67,642,14,602,46,181,89,115,11,1.53E-04,5.47E+01,6.32E+04,3.95E+07,1.27E+02,3.95E+01
310,444,8,1,921,16,829,45,864,90,611,14,904,3,4.61E-04,5.71E+01,2.61E+04,1.28E+07,5.57E+01,7.54E+00
726,853,4,1,687,67,139,16,568,91,483,49,333,62,4.36E-05,2.13E+01,2.38E+05,2.78E+06,8.54E+01,5.68E+01
294,739,2,2,921,64,856,78,574,44,178,88,113,10,4.05E-04,2.62E+01,2.17E+06,3.95E+07,6.63E+01,2.08E+01
717,610,1,2,549,6,638,98,603,66,179,88,109,41,1.89E-04,1.52E+01,1.40E+06,6.73E+06,9.84E+01,2.51E+01
221,841,2,1,910,70,586,93,653,92,194,79,870,10,9.87E-05,8.54E+00,1.40E+06,3.38E+06,-5.39E+01,-7.61E+00
649,441,8,2,586,16,598,46,853,45,663,82,896,3,2.34E-04,1.32E+01,5.77E+05,1.79E+06,1.13E+02,2.15E+01
264,749,2,1,983,68,822,13,602,92,152,20,113,20,4.43E-05,1.32E+01,5.77E+05,2.17E+06,9.00E+01,4.84E+01
287,739,1,3,924,64,844,97,562,92,179,85,113,10,4.49E-04,4.97E+01,5.77E+05,5.60E+08,3.01E+01,1.47E+01
250,797,1,1,889,67,630,15,595,43,179,89,113,19,1.20E-04,4.99E+01,1.53E+05,3.09E+07,8.33E+01,5.00E+01
569,519,6,1,519,71,635,31,854,87,922,11,847,69,3.80E-04,9.75E+00,1.40E+06,4.32E+06,1.16E+02,4.05E+01
649,444,8,6,594,11,985,45,136,45,636,83,863,3,1.71E-04,5.65E+01,1.68E+04,1.49E+08,4.61E+01,1.90E+01
294,387,2,2,593,16,587,49,853,45,636,89,924,3,7.59E-04,-6.48E+00,-1.00E+01,-1.00E+01,7.39E+01,1.67E+01
645,745,7,3,847,61,834,15,595,43,179,12,107,20,5.07E-05,1.52E+01,1.53E+05,8.98E+05,1.33E+02,5.40E+01
249,750,2,2,914,67,642,94,602,87,182,89,111,7,4.13E-04,2.32E+01,3.38E+06,3.95E+07,6.31E+01,2.28E+01
277,798,2,3,926,67,832,18,602,98,179,89,110,10,6.79E-05,4.50E+01,9.84E+04,1.63E+07,1.04E+02,4.49E+01
584,739,7,2,526,72,834,13,573,53,220,88,113,10,1.19E-04,4.20E+01,6.32E+04,5.27E+06,1.16E+02,4.71E+01
278,527,1,7,920,63,985,29,179,84,875,81,850,69,3.35E-04,1.32E+01,8.19E+06,3.95E+07,5.50E+00,4.15E+00
290,739,2,3,915,63,834,15,722,44,179,88,126,20,1.91E-04,4.00E+01,2.38E+05,2.54E+07,1.29E+02,3.72E+01
303,739,2,2,913,63,834,15,594,39,179,88,113,9,1.62E-04,5.54E+01,4.06E+04,2.54E+07,1.09E+02,4.21E+01
230,574,2,2,920,71,642,15,602,92,175,87,821,10,2.70E-04,2.95E+01,1.40E+06,4.80E+07,8.72E+01,3.04E+01
851,766,1,5,551,10,833,92,688,65,168,37,104,41,3.79E-05,1.26E+01,5.77E+05,1.79E+06,9.85E+01,2.74E+01
716,854,4,1,592,16,158,42,568,89,483,14,258,55,6.64E-05,1.13E+01,5.77E+05,1.40E+06,8.10E+01,3.16E+01
